S.NO,Question,BloomLevel,Marks
1,Define analog Modulation and list different types of analog modulations.,K1,2
2,A Radio transmitter radiates 10 KW and carrier power is 8.5 KW. Calculate modulation index.,K3,2
3,Define Carrier swing and Frequency deviation.,K1,2
4,Compare narrow band and wide band FM.,K2,2
5,What is the threshold effect?,K1,2
6,Explain the image frequency rejection of a radio receiver.,K2,2
7,what is the bandwidth requirement of a PCM system?,K1,2
8,distinguish between PAM and PWM,K4,4
9,describe the condition of orthogonality of two BFSK systems.,K2,2
10,compare the average power requirement of QPSK and BPSK,K2,2
11,how AM is generated using square law modulator? derive relevant expressions.,K6,10
12,"with necessary circuit diagram and waveforms, explain how DSB-SC wave is generated using  Balance Modulator",K2,2
13,"with necessary circuit diagram and waveforms, explain how DSB-SC wave is generated using Ring Modulator.",K2,2
14,discuss the generation of FM wave using direct method.,K6,10
15,"an FM wave with modulation index β = 1 is transmitted through an ideal band pass filter with mid band frequency fc and bandwidth is 5fm, where fc is the carrier frequency and fm is the frequency of the sinusoidal modulating wave. determine the amplitude spectrum of the filter output.",K5,5
16,discuss the detection of FM wave using zero crossing detector.,K6,10
17,explain the concept of pre emphasis and de-emphasis.,K2,2
18,draw the block diagram of AM transmitter using low level modulation. explain the significance of each block,K6,10
19,discuss about frequency stability in FM Transmitter,K6,10
20,list out the advantages and disadvantages of TRF receiver. ,K4,4
21,explain quantization error and derive an expression for maximum SNR in a PCM system that uses linear quantization. ,K2,2
22,what is slope overload distortion and granular noise in Delta Modulation? how it is removed in ADM?       ,K4,4
23,"a voice frequency signal band limited to 3 MHz is transmitted with the use of the DM system. The pulse repetition frequency is 30,000 pulses per second, and the step size is 40mV. determine the maximum possible speech signal amplitude to avoid a slope overload.",K5,5
24,compare all pulse modulation systems.,K4,4
25,explain the process of generating ASK signals.,K2,2
26,describe the process of detecting Coherent BPSK signals.,K3,2
27,explain how ISI occurs in base-band binary data transmission system.,K2,2
28,find the Probability of error of Integrate and DUMP circuite,K3,4
29,explain the importance of petrology in civil engineering,K2,2
30,present the importance of geology from Civil Engineering point of view.,K2,2
31,write the form of given minerals: i) Kyanite ii) Asbestos.,K1,2
32,state and explain Dykes and sills with diagrammatically,K2,2
33,define mural joints with neat sketches,K1,2
34,write short note on bearing capacity of soils.,K2,2
35,what are the main objectives of geological investigations for most engineering projects?,K1,2
36,explain briefly causes and effects of earthquakes.,K2,2
37,what do you understand by a dam disaster?,K1,2
38,briefly explain embankment dams and types.,K2,2
39,explain the brief study of case histories of failure of some Civil Engineering constructions due to geological drawbacks,K2,2
40,what do you mean by frost action in weathering? describe the processes of mechanical weathering in a rock.,K2,2
41,describe the concept of internal structure of the earth.,K3,2
42,"enumerate with the help of neat sketches, the process of erosion as performed by glaciers and their features.",K2,2
43,classify various mineral fractures? discuss the different types of fractures associated with minerals.,K4,4
44,"present briefly concordant bodies, discuss various important concordant forms with neat diagram.",K3,2
45,"describe the physical properties of following common rock forming minerals: i) Feldsper, ii) Quartz.",K3,2
46,describe the parts of folds and classify geological structures associating with the rocks such as folds.,K3,2
47,"briefly present the common types of soils, their origin and occurrence in India.",K2,2
48,present briefly Geological controls of Ground Water Movement.,K3,2
49,what is Cone of depression? write short note on hydrological cycle,K5,5
50,"define resistivity, and explain Special importance of Electrical resistivity methods.",K2,2
51,describe the principles of geophysical study by Gravity methods and its applications.,K3,2
52,"demonstrate the causes and effects of landslides, mention measures to be taken to prevent their occurrence at Landslides.",K3,2
53,"present briefly Richter scale intensity, which Precautions taken for building constructions in seismic areas.",K3,2
54,summarize the purpose of tunnels and how influence of geology for successful tunneling.,K5,5
55,classify various types of dams and bearing of Geology of site in their selection,K4,4
56,explain with examples which factors contributing to the success of a reservoir,K2,2
57,analyze geological considerations in the selection of a Dam site and Life of Reservoirs,K4,4
58,sketch a combinational Clipper Circuit,K3,3
